# Divider icon assignments. One row per section-divider slide, in deck order.
#
# `n` is the 1-based divider index within the deck, counting only section
# dividers -- the deck title slide is not one. Keying on the index rather than
# on the heading text keeps this stable when a section gets reworded, and
# tools/wire-section-art.py checks the recorded title against the file, so a
# drift is an error rather than a silently misplaced icon.
#
# source
#   catalog  already in icons/ and unused elsewhere. Wired.
#   pilot    already wired on the C/07/a pilot, kept as-is.
#   new      one icon named in `lordicon`; export it and save it as `icon`.json.
#   choose   more than one candidate in `lordicon`, pipe-separated, because no
#            single icon in the library is clearly right. Look at them and pick.
#
# `state` is the Lordicon animation state to play. A raw file carries several:
# `in-reveal` starts blank and draws the icon in, which is what a section divider
# wants, and `default:hover-pinch` starts with the artwork already there. Icons
# with no states, which is every legacy file here, ignore the attribute and play
# their single animation, so `in-reveal` is safe to set on all of them.
#
# One row differs. `parabola` (square-root) renders a bare radical with NO accent
# in its default and in-reveal states; `morph-squared` is the state that both
# brings the accent back and draws the squared symbol the section is about.
#
# `lordicon` is the icon's NAME in the Wired / Outline family. That is what you
# search for, and the only field you need to find and export one:
#
#     lordicon.com/icons/wired/outline?search=<name>
#
# `key` is the icon's CDN code. It is provenance only: these decks use the `lif`
# shortcode, which reads a file out of icons/, so no code is ever fetched at
# render time. It is recorded because icon-map.json is keyed on it. An earlier
# version of this header claimed a code could be opened at
# lordicon.com/icon/<key>/wired/outline; that URL 404s and never worked.
#
# EXPORTING: set secondary to #2a76dd in the customizer BEFORE exporting, or the
# icon bakes in Lordicon's green with no way to recolour it at runtime. See
# ICONS.md, where that was learned the expensive way. Save into icons/ under the
# `icon` name, add the code to icon-map.json, then run
# tools/wire-section-art.py.
#
# Reserved and deliberately not reused: map.json, the roadmap slide's recurring
# motif across six decks, and the 25 other icons already carrying meaning on a
# content slide.
#
# deck	n	section	icon	state	source	lordicon	key	note
A/03/a	3	Packages	install	in-reveal	wired	box-plus	okzvfdcb	A package with a plus on it. Replaces inbox-download, which read as a generic download rather than as adding a package.
A/03/b	1	Data Frames	data_frame	in-reveal	wired	browser-spreadsheet	wfjtyzqa	A literal grid of rows and columns. The earlier pick was the abstract `data` glyph, chosen only because spreadsheet.json was in use on a Unit A content slide; retiring those icons freed the concept.
A/03/b	2	Data Files	file_text	in-reveal	wired	file-text	hmpomorl	Deliberate reuse: `file_text` also carries the Scripts divider in A/01/b. Every other icon in the catalog is spoken for and a data-file glyph would have to be exported; a plain document reads correctly for both sections. Retire the reuse if one is ever added.
A/03/b	3	Data Exploration	explore	in-reveal	wired	binoculars	dpmsxdtz	Looking around before you know what you are looking for. Replaces magnifier, which reads as searching for something known.
B/04/a	1	Research Methods	questionnaire	in-reveal	wired	clipboard-questionnaire	snlmykub	The deck's methods are experiments, observational studies and a survey, never a wet lab. Replaces test_tubes.
B/04/a	2	Populations and Parameters	people	in-reveal	catalog	-	-	The whole crowd, which is what a population is.
B/04/a	3	Samples and Statistics	counter	in-reveal	catalog	-	-	A tally counter: counting a subset by hand.
B/04/a	4	Estimation and Uncertainty	target	in-reveal	catalog	-	-	Aiming at a true value you cannot see.
B/04/b	1	Types of Estimates	rulers	in-reveal	wired	-	-	A point estimate against an interval, measured. Freed by C/07/a #4 taking tape-measure.
B/04/b	2	The Normal Distribution	normal_curve	in-reveal	wired	bitrate	yjeedmbu	The library DOES have a bell curve, filed under `bitrate`. A curve over a histogram, which is the picture this section draws.
B/04/b	3	Central Limit Theorem	blender	in-reveal	wired	-	-	A blender: put in any shape of data and something smooth comes out, which is what the CLT promises for means. Replaces sales-leads-funnel, a literal sales funnel with a dollar sign that meant filtering, not convergence.
B/04/b	4	Confidence Intervals	interval	in-reveal	wired	casino-chip	adaahleq	A stake: how much you would put on the estimate. Replaces elastic-material.
B/04/b	5	Practical Matters	toolbox	in-reveal	wired	toolbox	fvoudkri	The housekeeping at the end of the lecture.
B/05/a	1	Statistical Hypotheses	scales	in-reveal	catalog	-	-	A balance: H0 against H1, before any evidence.
B/05/a	2	NHST Logic	flowchart	in-reveal	wired	project-diagram	wsvtrygf	The chain of reasoning as a diagram.
B/05/a	3	NHST Nuts and Bolts	wrench	in-reveal	wired	wrench	fwkrbvja	Literal, and the title already invites it.
B/05/a	4	$p$-values and <br>Pragmatics	threshold	in-reveal	wired	chats-feedback	vtmfbfkv	A thumb up and a thumb down, side by side. Replaces traffic-lights, which has THREE states and so quietly endorses the marginally-significant reading. Shows both verdicts at once rather than morphing between them, so it does not depend on the animation being watched.
B/05/b	1	Introductions	link	in-reveal	wired	link	gsjfryhc	Two variables related, which is all a correlation claims.
B/05/b	2	Calculating <br>Correlations	calculator	in-reveal	catalog	-	-	The arithmetic section.
B/05/b	3	Statistical Inference	telescope	in-reveal	wired	telescope	uxxyazkn	Reasoning past the sample. Deliberately not magic_ball.json, which frames inference as fortune telling.
B/06/a	1	Introductions	two_people	in-reveal	wired	-	-	Two masks, which is a contrasting pair. Freed when Unit A retired its slide icons; it took avatars-woman-man's place when that went to dummy coding, where it is more specific.
B/06/a	2	NHST Approaches	two_routes	in-reveal	wired	signpost-double	kjeyqivm	A signpost is a choice between routes. Replaces arrows-left-right, which read as exchange.
B/06/a	3	Effect Sizes	caliper	in-reveal	catalog	-	-	Measuring how big, not whether. The best fit in the catalog.
B/06/b	1	Introduction	many_groups	in-reveal	wired	avatars-group	rigpimbi	More than two groups at once.
B/06/b	2	One-way ANOVA in R	anova_in_r	in-reveal	wired	abacus	kfqseesl	The section where it becomes R. browser-code is taken by A/01/b.
B/06/b	3	Post-hoc Tests	compare_pairs	in-reveal	wired	files-compare	fzitssce	Which pair differs, asked after the omnibus test.
B/06/c	1	Unequal Variances	uneven	in-reveal	wired	uneven-road-sign	qwasteos	The assumption failing, and the title's own metaphor.
B/06/c	2	Repeated Measures	repeat_loop	in-reveal	wired	arrows-loop-one	grphetub	The same people measured again.
B/06/c	3	Translation Activity	translate	in-reveal	wired	globe-translation	aucxxwfa	The unit-closing activity is literally translation.
C/07/a	1	Introduction	trend_line	in-reveal	wired	line-chart-markers	gyvwavwk	REPLACES the pilot's map.json, which is the roadmap slide's motif across six decks. SETTLED: keeps line-chart-markers. scatter-plot was proposed here but D/10/b #1 already has it and that lecture is entirely about reading scatter plots, so it keeps the claim. No export needed for this row.
C/07/a	2	Regression Inference	insights	in-reveal	pilot	-	-	Kept from the pilot.
C/07/a	3	Centering	crosshair	in-reveal	wired	crosshair-alt	mdpzmxaq	REPLACES the pilot's location_pin.json: centering moves an origin, it is not a place.
C/07/a	4	Regression Effect Sizes	tape_measure	in-reveal	wired	tape-measure	wufezfky	A tape measure, for how big the effect is. Frees `rulers` for Types of Estimates.
C/07/b	1	Introduction	radio_buttons	in-reveal	wired	-	-	Predictors that are kinds rather than amounts. Freed by #3 taking card-suits.
C/07/b	2	Dichotomous <br>Dummy Coding	switch_binary	in-reveal	wired	avatars-woman-man	lxdzeulj	The deck's own dichotomous example is penguins$sex with levels male and female, so the icon shows the variable being coded rather than a generic on/off.
C/07/b	3	Polytomous <br>Dummy Coding	card_suits	in-reveal	wired	card-suits	tpbwmgss	Four suits: several exclusive categories, one of which is the reference. Frees `radio_buttons` for the Introduction.
C/07/c	1	Shared Variance	venn	in-reveal	wired	diagram-venn-double	wisxrkfy	Overlap is the whole idea.
C/07/c	2	Multiple Regression	many_to_one	in-reveal	wired	diagram-venn	ohybxsin	Overlapping predictors. Replaces sitemap, which branched one into many when the model runs many into one.
C/07/c	3	Many Predictors	equalizer	in-reveal	catalog	-	-	A bank of sliders: many inputs tuned at once.
C/08/a	1	Overview	mountains	in-reveal	catalog	-	-	A vista, for the overview of the moderation material.
C/08/a	2	Continuous-by-Continuous	surface_3d	in-reveal	wired	coordinate-system-3-d	irumlfqj	Replaces `3-d`, whose colour slots are swapped so it renders green. Labelled X/Y/Z axes, which is the response surface itself.
C/08/a	3	Interaction Patterns	crossing	in-reveal	wired	arrows-crossed-right	nuaqitea	Two arrows crossing: non-parallel slopes, drawn literally.
C/08/a	4	Centering with Interactions	compass	in-reveal	wired	drawing-compass	pnlowkpv	Re-centering with a product term in the model. Not crosshair: C/07/a has that and two would read as one.
C/08/b	1	Review	rewind	in-reveal	wired	rewind-circle	vclpgzfa	Looking back at the previous lecture. review.json is taken.
C/08/b	2	Binary-by-Continuous	two_slopes	in-reveal	wired	arrows-down-up	mmkqqlcu	One arrow up and one down: the two groups' slopes running opposite ways. Replaces sliders-vertical, which showed the continuous half and nothing binary.
C/08/b	3	Nominal-by-Continuous	multi_line	in-reveal	wired	arrows-crossed-up	lkfnwski	Crossing arrows, a different variant from the arrows-crossed-right on C/08/a #3, so the moderation unit shares a family keyed to slopes that are not parallel.
C/08/b	4	Categorical-by-Categorical	matrix_grid	in-reveal	wired	grid-module	tzyectrg	A cell per combination of levels.
C/08/b	5	Three-Way Interactions	cube	in-reveal	wired	cube-side	zrgyoifm	Three factors, three axes.
C/09/a	1	Overview	pen_nib	in-reveal	wired	pen-nib-vector	ewtvnblg	A bezier pen with its control handles: the tool that makes a curve, and the handles read as fitting one. Frees the plotted curve for #2.
C/09/a	2	Polynomial Regression	curve	in-reveal	wired	-	-	The plotted curve itself, moved up from the Overview. Retires curve-right-sign, a road sign sitting in a deck of charts.
C/09/a	3	Quadratic Regression	parabola	morph-squared	wired	square-root	wwbjufzq	The library has no parabola. Both candidates are approximations of a single bend.
C/09/a	4	Adding Predictors	add_terms	in-reveal	wired	widgets-plus	dvnhetou	Blocks with a plus: another term added to the ones already in the model.
C/09/a	5	Closing Thoughts	finish	in-reveal	wired	finish-line	yfbsycer	End of the section and of the unit.
D/10/a	1	Overview	blueprint	in-reveal	wired	blueprint	nmrhyntp	The assumptions listed before any of them is checked.
D/10/a	2	Correct Form	puzzle_fit	in-reveal	wired	mesh	wzfeulez	A warped grid inside a frame: a shape that can be got wrong, which is the question this section asks. Replaces puzzle-piece, which had no secondary slot and was the only divider rendering flat navy.
D/10/a	3	No Omitted Confounders	unseen	in-reveal	wired	box-lost-and-found	ldohbfuu	A lost-and-found box: the cause that was there and never got measured.
D/10/a	4	Perfect Predictors	mirror	in-reveal	wired	blur	itgtmsns	A droplet, for the regression "dilution" the deck names when predictors are measured with error. Replaces makeup-mirror, which was picked on a misreading of this section as being about a predictor duplicating the outcome.
D/10/a	5	No Collinearity	parallel	in-reveal	wired	arrows-right	zlfeyebd	Two arrows running parallel the same way, which is what collinearity is: predictors saying the same thing. Replaces road-narrows-sign, which read as traffic.
D/10/b	1	Overview	scatter	in-reveal	wired	scatter-plot	esmahubl	Residual plots, which is what the whole lecture reads.
D/10/b	2	Constant Error Variance	megaphone	in-reveal	wired	megaphone	jdnoclpe	The fanning shape heteroscedasticity makes.
D/10/b	3	Normal Residuals	distribution_check	default:hover-pinch	wired	water-pipe	vnirazwq	Played from the state that leaks: it sprays from the joint and then seals. Residuals are what leaks out of the model.
D/10/b	4	Independent Residuals	independence	in-reveal	wired	family	theqdcco	A family is a cluster of related observations, which is exactly what breaks independence. The icon draws the violation rather than the assumption.
D/10/b	5	Outliers	outlier	in-reveal	wired	sheep	pcjhygqv	The black sheep. One point unlike the rest.
E/14/a	1	Power Analysis	muscle	in-reveal	catalog	-	-	Freed when Unit A retired its slide icons. This is the icon that opened the Power Analysis section as a content slide, so it was already the author's pick for this exact concept.
E/14/b	1	Overview	warning	in-reveal	wired	warning-triangle	lltgvngb	The practices are the warning. caution.json is taken.
E/14/b	2	Questionable Practices	mask	in-reveal	wired	anonymus-mask	zlrnrxmr	Analysis choices that hide what was actually done.
E/14/b	3	Garden of Forking Paths	branching	in-reveal	wired	arrows-up-branches	gvmafqor	The metaphor, drawn literally.
E/15/a	1	Overview	newspaper	in-reveal	catalog	-	-	Results as something published and read.
